index,Address,place_id,Amenities,"post_box,_counts","recycling,_counts","fast_food,_counts","restaurant,_counts","police,_counts","bar,_counts","cafe,_counts","fire_station,_counts","clinic,_counts","bank,_counts","bicycle_parking,_counts","parking,_counts","toilets,_counts","lockers,_counts","bench,_counts","drinking_water,_counts","bicycle_rental,_counts","parking_entrance,_counts","vending_machine,_counts","piano,_counts","charging_station,_counts","doctors,_counts","clock,_counts","waste_basket,_counts","boat_rental,_counts","public_bookcase,_counts",vending_machine_counts,"fuel,_counts","motorcycle_parking,_counts",bench_counts,"pharmacy,_counts","pub,_counts","waste_disposal,_counts","ice_cream,_counts","studio,_counts","place_of_worship,_counts","bbq,_counts","taxi,_counts","fountain,_counts","dentist,_counts","shelter,_counts","arts_centre,_counts","theatre,_counts","kindergarten,_counts","school,_counts","food_court,_counts","atm,_counts",parking_entrance_counts,"townhall,_counts","healthcare,_counts","social_centre,_counts","community_centre,_counts","dental_hygienist,_counts","social_facility,_counts","cinema,_counts",fountain_counts,"bureau_de_change,_counts","bus_station,_counts","nightclub,_counts","casino,_counts","coworking_space,_counts","accupuncture,_counts","brothel,_counts","bicycle_repair_station,_counts","cannabis,_counts","car_rental,_counts","ferry_terminal,_counts",bicycle_parking_counts,"conference_centre,_counts","parking_space,_counts","college,_counts",cafe_counts,"archive,_counts","HTTPSConnectionPool(host='nominatim.openstreetmap.org',_counts",port=443):_counts,Max_counts,retries_counts,exceeded_counts,with_counts,url:_counts,/search?q=Tt.+Vasumweg+32%2C+1033+SC+Amsterdam&format=json&limit=1_counts,(Caused_counts,by_counts,"ReadTimeoutError(""HTTPSConnectionPool(host='nominatim.openstreetmap.org',_counts",Read_counts,timed_counts,out._counts,(read_counts,"timeout=1)""))_counts","university,_counts","courthouse,_counts","childcare,_counts","music_school,_counts",recycling_counts,"post_office,_counts","marketplace,_counts",restaurant_counts,"playground,_counts",balance_beam_counts,"stripclub,_counts","car_sharing,_counts","library,_counts","veterinary,_counts","station,_counts","training,_counts","car_wash,_counts","music_studio,_counts","karaoke_box,_counts","loading_dock,_counts","warehouse,_counts","health_centre,_counts","locker,_counts","luggage_locker,_counts","chiropractic,_counts","mailboxes,_counts","office_units,_counts","meeting_centre,_counts","cooking_school,_counts","K+R,_counts","freezone,_counts",drinking_water_counts,"parcel_locker,_counts",parking_counts,"events_venue,_counts",charging_station_counts,"ticket_validator,_counts","photo_booth,_counts","hospital,_counts",fuel_counts,"gym,_counts","pedalo,_counts","compressed_air,_counts",parcel_locker_counts,bank_counts,'NoneType'_counts,object_counts,has_counts,no_counts,attribute_counts,'latitude'_counts,"nursing_home,_counts",total_counts,rating,review_rating
285,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,5.0
286,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,4.0
287,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,5.0
288,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,5.0
289,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,5.0
290,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,5.0
291,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,4.0
292,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,5.0
293,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,3.0
294,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,5.0
295,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,4.0
296,"Spoorslag 29, 1082 MM Amsterdam",ChIJ15K9igQKxkcR8A7le6H02hI,"cafe, parking, place_of_worship, restaurant, cafe, parking, arts_centre, theatre, bank, bicycle_parking, bicycle_parking, restaurant, restaurant, parking_entrance, recycling, bicycle_parking, parking_entrance, fast_food, restaurant, cafe, dentist, bicycle_parking, cafe, ice_cream, fast_food, bench, bench, bench, kindergarten, vending_machine, fast_food, restaurant, restaurant, bank, restaurant, bicycle_rental, fast_food, restaurant, bar, cafe, restaurant, restaurant, parking, restaurant, pub, bank, cafe, cafe, cafe, taxi, taxi, motorcycle_parking, cafe, cafe, toilets, bench, bench, cafe, school, cafe, restaurant, kindergarten, post_box, food_court, bench, cafe, bicycle_rental, bicycle_rental, charging_station, bench, bench, bench, parking_entrance, bench, bench, bench, bicycle_rental, restaurant, cafe, fast_food, restaurant, bench, drinking_water, drinking_water, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, bench, shelter, shelter, shelter, vending_machine, vending_machine, vending_machine, vending_machine, bar, drinking_water, cafe, vending_machine, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, waste_basket, kindergarten, drinking_water, parking_entrance, parking_entrance, parking, restaurant, bench, bench, bench, bench, bench, atm, bench, bench, parking_entrance, cafe, doctors, pharmacy, parking_entrance",1,1,5,15,0,2,16,0,0,3,4,9,1,0,36,4,4,6,6,0,1,1,0,8,0,0,6,0,1,36,1,1,0,1,0,1,0,2,0,1,3,1,1,3,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,252,4.0,1.0
